aymara,english
T'ika wistayki, You play
Ñawiñam k'ajsi saqta, My goal jumps
Saqta wistayki, Jumper player
Suma wistayki, I jump player
Ñuqa k'ajsi, I score
Phaxsi saqta, Sun jumps
Q'ara phutbol wistayki, Black soccer player
Ñuqa saqta, I jump
Kimsa phusk'a, Dancing
Mä q'illay, Singing
Jach'a k'uchu, Hiking
Thanta riqsisqa, Running
T'ika q'ayt'a, Walking
Mä qallt'a, Laughing
Pacha wayruru, Traveling
Jach'a phuq'uy, Exploring
Thanta chhalla, Jumping
Wasi ruraqsi, Cooking
Suma wakichiy, Talking
Pacha qilluy, Reading
Ñawi t'ikarqay, Watching
Jach'a thayruru, Swimming
Thantañäkuy, Exercising
Wasi phurqusqa, Cleaning
Suma wakit'ay, Listening
Pacha phusqay, Resting
Jach'a saqta, Climbing
Thanta ñawiñäkuy, Sightseeing
Wasi raphiqay, Painting
Suma chhaskiy, Observing
Pacha t'ikuy, Meditating
Jach'a pampakuy, Camping
Thanta phalluy, Cycling
Wasiñäkuy, Gardening
Suma khuyay, Singing
Pacha khuyay, Dancing
Jach'a wakichiy, Communicating
Thanta yachay, Learning
Wasi khuchuy, Playing
Suma thakhiy, Thinking
Pacha wakaniy, Relaxing
Jach'a yuyay, Reflecting
Thanta jisk'ay, Flying
Wasi yapay, Helping
Suma ñawiñäkuy, Exploring
Pacha ñak'ay, Sleeping
Jach'a phawaray, Adventuring
Thanta sulluy, Balancing
Wasi kusisqa, Singing
Suma kusisqa, Dancing
Pacha thakhiy, Listening
Jach'a wakichiy, Talking
Thanta phurqusqa, Cleaning
Wasi ñawiñäkuy, Sightseeing
Suma yapay, Assisting
Pacha wakay, Walking
Jach'a t'ikarqay, Observing
Thanta saqta, Climbing
Wasi khuyay, Playing
Suma chhaskiy, Watching
Pacha phusqay, Resting
Jach'a pampakuy, Camping
Thanta riqsisqa, Running
Wasi phalluy, Cycling
Suma wakit'ay, Reading
Pacha qilluy, Singing
Jach'a thayruru, Swimming
Thantañäkuy, Exercising
Wasi ruraqsi, Cooking
Suma wakichiy, Talking
Pacha khuyay, Dancing
Jach'a k'uchu, Hiking
Thanta q'ayt'a, Walking
Wajta, Bread
Thayacha, Soup
Phasa, Meat
Q'achwa, Fish
K'ispi, Rice
Phuru, Potato
K'ispi phuru, Rice and potatoes
Qiwitani, Salad
Jallpa, Stew
Ch'uñu, Freeze-dried potato
Isquray, Cheese
Kiwacha, Corn
Phisara, Bean stew
T'awqa, Barley
Ch'oqo, Pumpkin
Phuru phasa, Meat and potatoes
Q'achwa k'ispi, Fish and rice
Ch'uñu jallpa, Freeze-dried potato stew
Ch'arki, Dried meat
Jacha phuru, Big potato
Phuru isquray, Potato and cheese
Juch'uy phasa, Small pieces of meat
Phisara ch'uñu, Bean stew with freeze-dried potato
Chuño phuru, Freeze-dried potato with potato
Q'iwir phuru, Mashed potato
K'ispi chuño, Rice with freeze-dried potato
Jacha chuño, Big freeze-dried potato
Phasa ch'oqo, Meat with pumpkin
Isquray phasa, Cheese with meat
Phuru ch'oqo, Potato with pumpkin
Ch'arki jallpa, Dried meat stew
Phisara phuru, Bean stew with potato
T'awqa chuño, Barley with freeze-dried potato
Chuño k'ispi, Freeze-dried potato with rice
Q'iwir chuño, Mashed freeze-dried potato
Jacha k'ispi, Big rice
Phasa ch'uñu, Meat with freeze-dried potato
Ch'oqo phuru, Pumpkin with potato
Juch'uy isquray, Small pieces of cheese
Phisara chuño, Bean stew with freeze-dried potato
T'awqa phasa, Barley with meat
Chuño jallpa, Freeze-dried potato stew
Q'iwir k'ispi, Mashed rice
Phasa ch'uñu, Meat with freeze-dried potato
Ch'oqo phuru, Pumpkin with potato
Juch'uy isquray, Small pieces of cheese
Phisara chuño, Bean stew with freeze-dried potato
T'awqa phasa, Barley with meat
Chuño jallpa, Freeze-dried potato stew
Q'iwir k'ispi, Mashed rice
